Timestamp,CPU_Percent,RAM_Used_MB,GPU_Util_Percent,GPU_Mem_MB
1766019053,0.8,14198,0, 2009
1766019054,0.6,14211,0, 2009
1766019056,7.2,15169,0, 2009
1766019057,6.2,15217,0, 2009
1766019058,45.3,15253,0, 2009
1766019059,4.8,15156,0, 2009
1766019061,5.3,15166,0, 2009
1766019062,5.9,15146,0, 2009
1766019063,6.1,15149,0, 2009
1766019064,8.6,17129,10, 3040
1766019066,3.9,17233,14, 3040
1766019067,4.2,17245,8, 3040
1766019068,6.6,17241,10, 3040
1766019069,4.8,17216,10, 3040
1766019071,4.6,17194,17, 3040
1766019072,3.7,17230,12, 3040
1766019073,3.6,17293,5, 3040
1766019074,6.9,17280,16, 3040
1766019076,5,17286,12, 3040
1766019077,4.7,17165,16, 3040
1766019078,4.9,17197,18, 3040
1766019079,3.9,17186,11, 3040
1766019081,5.4,17161,10, 3040
1766019082,4.5,17166,9, 3040
1766019083,3.8,17168,16, 3040
1766019084,3.9,17169,13, 3040
1766019086,3.9,17159,11, 3040
1766019087,5.6,17171,18, 3040
1766019088,4.7,17133,15, 3040
1766019089,3.5,17146,23, 3040
1766019091,4.2,17148,16, 3040
1766019092,4.4,17138,13, 3040
1766019093,5.9,17146,12, 3040
1766019094,4.2,17142,8, 3040
1766019096,3.9,17090,10, 3040
1766019097,4.2,17101,12, 3040
1766019098,6,17136,16, 3040
1766019099,6.6,17138,12, 3040
1766019101,6.9,17112,10, 3040
1766019102,9.7,17102,7, 3040
1766019103,2.8,17086,15, 3040
1766019104,3.1,17092,15, 3040
1766019106,5.5,17098,11, 3040
1766019107,3.3,17101,12, 3040
1766019108,3.3,17095,15, 3040
1766019110,4.1,17091,13, 3040
1766019111,5.2,17090,13, 3040
1766019112,5.3,17087,16, 3040
1766019113,2.8,16408,11, 3040
1766019115,2.8,16331,0, 3040
1766019116,0.3,16343,0, 3040
1766019117,1.9,16336,0, 3040
1766019118,8.4,14162,23, 2009
1766019120,1.4,14165,0, 2009
