Timestamp,CPU_Percent,RAM_Used_MB,GPU_Util_Percent,GPU_Mem_MB
1766019477,0.8,14040,0, 2009
1766019478,0.8,14040,0, 2009
1766019479,8.4,14956,0, 2009
1766019480,4.5,15106,0, 2009
1766019482,4.2,15158,0, 2009
1766019483,4.5,15176,0, 2009
1766019484,6.5,15014,0, 2009
1766019485,8.1,14988,0, 2009
1766019487,4.5,15025,0, 2009
1766019488,3.4,14994,0, 2009
1766019489,5.7,14992,0, 2009
1766019490,12.6,17092,24, 3164
1766019492,4.2,17175,12, 3164
1766019493,2.8,17206,11, 3164
1766019494,2.8,17221,13, 3164
1766019495,5.3,17255,11, 3164
1766019497,2.5,17230,12, 3164
1766019498,3.6,17244,5, 3164
1766019499,2.2,17203,15, 3164
1766019500,3.1,17187,5, 3164
1766019502,4.5,17199,9, 3164
1766019503,2.8,17190,9, 3164
1766019504,2.8,17167,12, 3164
1766019505,2.5,17153,9, 3164
1766019507,4.4,17156,8, 3164
1766019508,5.3,17151,8, 3164
1766019509,2.8,17165,9, 3164
1766019510,3.9,17153,11, 3164
1766019512,4.9,17171,6, 3164
1766019513,3.4,17188,13, 3164
1766019514,4.7,17167,11, 3164
1766019515,3.1,17210,6, 3164
1766019517,3.3,17178,11, 3164
1766019518,2.8,17170,7, 3164
1766019519,4.7,17177,11, 3164
1766019520,3.6,17186,9, 3164
1766019522,2.6,17184,8, 3164
1766019523,3.3,17189,11, 3164
1766019524,3.9,17190,12, 3164
1766019525,3.6,17177,11, 3164
1766019527,4,17172,12, 3164
1766019528,4.4,17149,8, 3164
1766019529,3,17173,9, 3164
1766019531,3.3,17180,11, 3164
1766019532,4.8,17180,11, 3164
1766019533,4.5,17169,11, 3164
1766019534,3.1,17142,11, 3164
1766019536,3.1,17162,9, 3164
1766019537,3.6,17169,12, 3164
1766019538,4.5,17185,10, 3164
1766019539,1.1,16444,0, 3164
1766019541,0.6,16394,0, 3164
