Timestamp,CPU_Percent,RAM_Used_MB,GPU_Util_Percent,GPU_Mem_MB
1766019559,0.6,14011,0, 2009
1766019560,61.1,14306,0, 2009
1766019562,3.6,15037,0, 2009
1766019563,6.7,15055,0, 2009
1766019564,4.5,15081,0, 2009
1766019566,4.2,15059,0, 2009
1766019567,5.2,14999,0, 2009
1766019568,5.7,15011,0, 2009
1766019569,12.3,17123,13, 3164
1766019571,3.4,17213,7, 3164
1766019572,3.1,17166,11, 3164
1766019573,2.8,17206,7, 3164
1766019574,5,17196,7, 3164
1766019576,3.9,17209,7, 3164
1766019577,3.3,17213,9, 3164
1766019578,1.7,17224,7, 3164
1766019579,2.8,17213,5, 3164
1766019581,4.2,17216,8, 3164
1766019582,3.1,17197,7, 3164
1766019583,1.9,17187,9, 3164
1766019584,4.1,17168,6, 3164
1766019586,2.6,17173,6, 3164
1766019587,4.8,17178,7, 3164
1766019588,3,17186,8, 3164
1766019589,3.4,17190,9, 3164
1766019591,3.4,17191,5, 3164
1766019592,2.5,17232,8, 3164
1766019593,4.5,17224,10, 3164
1766019594,2.8,17236,7, 3164
1766019596,3.1,17225,11, 3164
1766019597,2.8,17247,6, 3164
1766019598,4.2,17245,5, 3164
1766019599,5,17234,13, 3164
1766019601,2.8,17231,7, 3164
1766019602,2.5,17236,7, 3164
1766019603,2.8,17216,7, 3164
1766019604,3.8,17224,7, 3164
1766019606,4.8,17245,4, 3164
1766019607,3.4,17239,8, 3164
1766019608,4.1,17223,3, 3164
1766019609,2.5,17218,6, 3164
1766019611,4.1,17225,9, 3164
1766019612,4.5,17241,6, 3164
1766019613,2.2,17222,6, 3164
1766019614,0.6,16495,0, 3164
1766019616,1.4,16503,0, 3164
