Timestamp,CPU_Percent,RAM_Used_MB,GPU_Util_Percent,GPU_Mem_MB
1766019872,1.7,14133,0, 2009
1766019873,0.3,14147,0, 2009
1766019874,7.5,15112,0, 2009
1766019876,4.9,15278,0, 2009
1766019877,6.8,15211,0, 2009
1766019878,4.8,15158,0, 2009
1766019879,4.2,14994,0, 2009
1766019881,5.1,14997,0, 2009
1766019882,5.7,15718,0, 2009
1766019883,2.8,16994,8, 3160
1766019884,3.9,17026,10, 3160
1766019886,2,17030,10, 3160
1766019887,3,17067,8, 3160
1766019888,4.8,17077,8, 3160
1766019889,3.4,17068,9, 3160
1766019891,3.3,17054,11, 3160
1766019892,2.2,17045,6, 3160
1766019893,3.9,17023,7, 3160
1766019894,6,17015,7, 3160
1766019896,3,17012,6, 3160
1766019897,3.1,17028,10, 3160
1766019898,5,17036,7, 3160
1766019899,3.9,17048,7, 3160
1766019901,4.7,17042,6, 3160
1766019902,3.3,17051,10, 3160
1766019903,3.6,17055,9, 3160
1766019904,2.2,17037,7, 3160
1766019906,3.3,17048,7, 3160
1766019907,4.7,17065,6, 3160
1766019908,3.1,17044,11, 3160
1766019909,3,17043,7, 3160
1766019911,3.7,17042,7, 3160
1766019912,3.3,17051,6, 3160
1766019913,4.7,17070,8, 3160
1766019914,2,17057,8, 3160
1766019916,2.5,17034,9, 3160
1766019917,2.8,17035,8, 3160
1766019918,2.5,17025,8, 3160
1766019919,4.7,17018,6, 3160
1766019921,2.8,17033,12, 3160
1766019922,2.5,17025,6, 3160
1766019923,2.2,17020,6, 3160
1766019924,2.2,17039,11, 3160
1766019926,5.5,17022,6, 3160
1766019927,2.5,17043,8, 3160
1766019928,2.8,17029,10, 3160
1766019929,3.6,16819,6, 3160
1766019931,0.6,16333,0, 3160
1766019932,3.1,16162,0, 3160
