Timestamp,CPU_Percent,RAM_Used_MB,GPU_Util_Percent,GPU_Mem_MB
1766019229,0.6,14137,0, 2009
1766019230,2,14144,0, 2009
1766019231,9.8,14979,0, 2009
1766019232,5.1,15156,0, 2009
1766019234,5,15194,0, 2009
1766019235,4.5,15054,0, 2009
1766019236,6.4,15073,0, 2009
1766019237,5.1,15073,0, 2009
1766019239,3.4,15763,0, 2009
1766019240,3.3,16973,13, 3040
1766019241,5,17013,9, 3040
1766019242,3.1,17059,12, 3040
1766019244,1.7,17122,6, 3040
1766019245,2.2,17123,6, 3040
1766019246,2.8,17104,6, 3040
1766019247,4.7,17125,10, 3040
1766019249,2,17122,8, 3040
1766019250,3.1,17148,8, 3040
1766019251,4.8,17171,8, 3040
1766019252,1.7,17136,5, 3040
1766019254,4.2,17131,9, 3040
1766019255,3.3,17144,12, 3040
1766019256,3.6,17102,7, 3040
1766019258,3,17109,7, 3040
1766019259,3.9,17095,9, 3040
1766019260,4.5,17082,7, 3040
1766019261,4.4,17048,10, 3040
1766019263,3.3,17065,9, 3040
1766019264,2.8,17075,7, 3040
1766019265,7.6,17055,9, 3040
1766019266,5.9,17060,11, 3040
1766019268,3.9,17067,10, 3040
1766019269,3.9,17052,8, 3040
1766019270,2.5,17025,10, 3040
1766019271,5.3,17027,6, 3040
1766019273,3.4,17038,6, 3040
1766019274,3.1,17030,8, 3040
1766019275,3.1,17014,12, 3040
1766019276,2.8,17015,8, 3040
1766019278,4.2,17036,8, 3040
1766019279,3.1,17038,9, 3040
1766019280,3.9,17055,6, 3040
1766019281,3.1,17024,11, 3040
1766019283,2.2,17023,7, 3040
1766019284,4.7,17007,8, 3040
1766019285,3.9,16999,4, 3040
1766019286,3.3,16792,6, 3040
1766019288,0.8,16255,0, 3040
