Timestamp,CPU_Percent,RAM_Used_MB,GPU_Util_Percent,GPU_Mem_MB
1766018970,1.1,14200,0, 2009
1766018971,0.3,14202,0, 2009
1766018972,7.2,15114,0, 2009
1766018973,2.8,15205,0, 2009
1766018975,3.3,15388,0, 2009
1766018976,5.9,15536,0, 2009
1766018977,4.4,15467,0, 2009
1766018978,5.4,15458,0, 2009
1766018980,5.3,15447,0, 2009
1766018981,4.4,15321,0, 2009
1766018982,4.1,17232,8, 3040
1766018983,4.2,17246,12, 3040
1766018985,5.6,17273,9, 3040
1766018986,4.1,17296,7, 3040
1766018987,4.7,17292,6, 3040
1766018988,3.3,17272,8, 3040
1766018990,4.7,17246,7, 3040
1766018991,5.8,17256,9, 3040
1766018992,3.6,17258,6, 3040
1766018993,3.9,17286,9, 3040
1766018995,4.5,17304,8, 3040
1766018996,8.2,17307,11, 3040
1766018997,4.7,17281,10, 3040
1766018998,4.1,17258,14, 3040
1766019000,3.6,17250,11, 3040
1766019001,4.9,17277,12, 3040
1766019002,3.8,17233,12, 3040
1766019003,6.5,17227,14, 3040
1766019005,2.7,17211,9, 3040
1766019006,3.3,17214,8, 3040
1766019007,2.8,17203,6, 3040
1766019008,3.3,17195,9, 3040
1766019010,5.5,17192,9, 3040
1766019011,4.2,17174,15, 3040
1766019012,3.3,17173,8, 3040
1766019013,2.5,17193,15, 3040
1766019015,2.8,17198,7, 3040
1766019016,5,17182,10, 3040
1766019017,3.4,17182,10, 3040
1766019018,3.8,17174,11, 3040
1766019020,2.8,17169,7, 3040
1766019021,3.8,17158,15, 3040
1766019022,5.3,17173,6, 3040
1766019024,2.8,17177,7, 3040
1766019025,4.3,17200,12, 3040
1766019026,4.1,17196,6, 3040
1766019027,0.6,16452,0, 3040
1766019029,2.5,16461,0, 3040
1766019030,0.6,16461,0, 3040
