Timestamp,CPU_Percent,RAM_Used_MB,GPU_Util_Percent,GPU_Mem_MB
1766019794,0.6,14201,0, 2009
1766019795,2.8,14197,0, 2009
1766019796,8.4,15101,0, 2009
1766019798,4.8,15275,0, 2009
1766019799,3.9,15278,0, 2009
1766019800,5.4,15212,0, 2009
1766019801,4.2,15241,0, 2009
1766019803,5.3,15234,0, 2009
1766019804,4.2,15675,0, 2009
1766019805,8.1,16930,11, 3160
1766019806,5.1,16976,10, 3160
1766019808,3.6,17000,7, 3160
1766019809,3.3,17002,11, 3160
1766019810,5.2,17010,7, 3160
1766019811,3,16999,16, 3160
1766019813,4.7,16978,11, 3160
1766019814,3.7,17000,8, 3160
1766019815,2,16989,9, 3160
1766019816,2,16992,7, 3160
1766019818,2.2,17013,10, 3160
1766019819,5.6,17039,7, 3160
1766019820,3.8,17019,10, 3160
1766019821,2.8,17000,9, 3160
1766019823,3,17002,10, 3160
1766019824,3.6,17051,9, 3160
1766019825,4.7,17046,7, 3160
1766019826,4.1,17085,7, 3160
1766019828,3.3,17089,10, 3160
1766019829,4.1,17070,10, 3160
1766019830,4.6,17077,6, 3160
1766019831,3.9,17061,6, 3160
1766019833,2.8,17068,8, 3160
1766019834,3.3,17077,6, 3160
1766019835,2.3,17061,8, 3160
1766019836,3.7,17064,12, 3160
1766019838,4.2,17086,8, 3160
1766019839,2.6,17111,9, 3160
1766019840,3,17096,8, 3160
1766019841,4.4,17117,13, 3160
1766019843,4,17133,9, 3160
1766019844,4.7,17118,10, 3160
1766019845,3,17116,10, 3160
1766019846,3.9,17132,10, 3160
1766019848,3.3,17122,9, 3160
1766019849,3.4,17121,6, 3160
1766019850,4.4,17070,8, 3160
1766019851,3,16825,8, 3160
1766019853,0.8,16397,0, 3160
1766019854,0.6,16399,0, 3160
