Timestamp,CPU_Percent,RAM_Used_MB,GPU_Util_Percent,GPU_Mem_MB
1766019310,0.6,14048,0, 2009
1766019311,24.1,14741,0, 2009
1766019312,4.2,15249,0, 2009
1766019314,3.6,15128,0, 2009
1766019315,4.1,15139,0, 2009
1766019316,6.2,15132,0, 2009
1766019317,4.2,15311,0, 2009
1766019319,3.7,15290,0, 2009
1766019320,4.2,15276,0, 2009
1766019321,2,15939,0, 2009
1766019322,3.9,17109,6, 3164
1766019324,2.5,17143,7, 3164
1766019325,2.2,17198,6, 3164
1766019326,3.3,17279,7, 3164
1766019327,4.8,17358,8, 3164
1766019329,2.5,17355,8, 3164
1766019330,3.6,17367,6, 3164
1766019331,4.1,17358,6, 3164
1766019332,3.1,17380,5, 3164
1766019334,4.5,17358,9, 3164
1766019335,3.6,17347,8, 3164
1766019336,4.4,17321,7, 3164
1766019337,3.1,17332,6, 3164
1766019339,3.1,17307,8, 3164
1766019340,4.8,17297,8, 3164
1766019341,3.6,17278,6, 3164
1766019342,2.8,17279,6, 3164
1766019344,3.6,17265,11, 3164
1766019345,2.8,17278,7, 3164
1766019346,7.1,17290,7, 3164
1766019347,4.1,17262,8, 3164
1766019349,4.2,17278,8, 3164
1766019350,2.6,17279,8, 3164
1766019351,3.9,17300,6, 3164
1766019352,4.3,17298,13, 3164
1766019354,2.5,17288,7, 3164
1766019355,2.8,17259,5, 3164
1766019356,3.9,17249,6, 3164
1766019357,3.9,17251,6, 3164
1766019359,6.8,17269,7, 3164
1766019360,3,17264,12, 3164
1766019361,2.3,17266,7, 3164
1766019362,2,17237,3, 3164
1766019364,2.8,17251,7, 3164
1766019365,6.3,17252,7, 3164
1766019366,2.8,17040,7, 3164
1766019368,2.8,17027,7, 3164
1766019369,2.8,16571,3, 3164
1766019370,0.3,16546,0, 3164
