Timestamp,CPU_Percent,RAM_Used_MB,GPU_Util_Percent,GPU_Mem_MB
1766019396,0.3,14143,0, 2009
1766019398,0.3,14212,0, 2009
1766019399,4.2,15110,0, 2009
1766019400,5.7,15337,0, 2009
1766019401,4.2,15329,0, 2009
1766019403,5,15315,0, 2009
1766019404,3.9,15311,0, 2009
1766019405,4.5,15291,0, 2009
1766019406,5.3,15240,0, 2009
1766019408,2.5,16048,0, 2043
1766019409,2.5,17308,7, 3164
1766019410,3.3,17328,7, 3164
1766019411,5,17354,5, 3164
1766019413,3.7,17374,9, 3164
1766019414,3.9,17399,8, 3164
1766019415,3.9,17400,9, 3164
1766019416,3.4,17408,9, 3164
1766019418,5.1,17140,7, 3164
1766019419,4.6,17157,9, 3164
1766019420,3.3,17173,7, 3164
1766019421,4.1,17180,8, 3164
1766019423,4.1,17171,7, 3164
1766019424,5.2,17198,11, 3164
1766019425,3.6,17156,7, 3164
1766019426,3.8,17181,8, 3164
1766019428,2.8,17192,9, 3164
1766019429,2.8,17198,8, 3164
1766019430,5.6,17191,7, 3164
1766019431,3,17170,8, 3164
1766019433,4.1,17184,5, 3164
1766019434,2.8,17164,10, 3164
1766019435,2.8,17171,11, 3164
1766019436,5.9,17189,10, 3164
1766019438,3.6,17182,7, 3164
1766019439,4.6,17156,7, 3164
1766019440,3.6,17143,9, 3164
1766019441,3.3,17153,10, 3164
1766019443,5,17154,7, 3164
1766019444,3.1,17152,7, 3164
1766019445,3.6,17154,10, 3164
1766019446,3.1,17161,10, 3164
1766019448,3.9,17180,9, 3164
1766019449,5.6,17172,7, 3164
1766019450,2.5,17170,10, 3164
1766019451,4.1,17147,7, 3164
1766019453,2.8,17140,11, 3164
1766019454,2.8,17084,7, 3164
1766019455,2.3,16447,0, 3164
1766019456,1.1,16431,0, 3164
1766019458,1.1,16424,0, 3164
