Timestamp,CPU_Percent,RAM_Used_MB,GPU_Util_Percent,GPU_Mem_MB
1766019141,0.6,14133,0, 2009
1766019142,0.3,14136,0, 2009
1766019144,8.7,15110,0, 2009
1766019145,2.8,15147,0, 2009
1766019146,4.2,15167,0, 2009
1766019148,3.6,15206,0, 2009
1766019149,6.2,15213,0, 2009
1766019150,4.7,15078,0, 2009
1766019151,5,15105,0, 2009
1766019153,4.8,15081,0, 2009
1766019154,4.5,15079,0, 2009
1766019155,5.8,15077,0, 2009
1766019156,8.6,16474,8, 2860
1766019158,2.8,17074,8, 3040
1766019159,2.8,17218,8, 3040
1766019160,3.4,17259,8, 3040
1766019161,6.4,17236,8, 3040
1766019163,2.2,17256,14, 3040
1766019164,3.7,17228,9, 3040
1766019165,2.5,17254,13, 3040
1766019166,5.6,17229,9, 3040
1766019168,2.8,17196,9, 3040
1766019169,2.2,17177,8, 3040
1766019170,2.8,17202,12, 3040
1766019171,3.3,17171,15, 3040
1766019173,4.7,17181,6, 3040
1766019174,3.6,17178,11, 3040
1766019175,2.3,17149,11, 3040
1766019176,2.5,17163,8, 3040
1766019178,5.4,17128,12, 3040
1766019179,8.4,17107,9, 3040
1766019180,2.8,17113,9, 3040
1766019181,3.6,17116,13, 3040
1766019183,2.8,17128,9, 3040
1766019184,2,17129,7, 3040
1766019185,5.4,17140,10, 3040
1766019186,1.7,17129,9, 3040
1766019188,3,17119,8, 3040
1766019189,3.3,17145,6, 3040
1766019190,2.5,17157,15, 3040
1766019191,5,17152,12, 3040
1766019193,2.2,17133,8, 3040
1766019194,3.1,17141,6, 3040
1766019195,2.8,17130,8, 3040
1766019196,2.5,17120,6, 3040
1766019198,4.2,17118,10, 3040
1766019199,3.8,17137,11, 3040
1766019200,2.5,17162,10, 3040
1766019201,3.6,17150,8, 3040
1766019203,3.7,17040,19, 3040
1766019204,2.8,16423,0, 3040
1766019205,1.4,16367,0, 3040
