Timestamp,CPU_Percent,RAM_Used_MB,GPU_Util_Percent,GPU_Mem_MB
1766019712,1.1,14102,0, 2009
1766019714,66.8,14424,0, 2009
1766019715,6.2,15374,0, 2009
1766019716,60.2,15354,0, 2009
1766019718,4,15346,0, 2009
1766019719,4.8,15364,0, 2009
1766019720,5.8,15337,0, 2009
1766019721,8.5,15317,0, 2009
1766019723,4.5,15202,0, 2009
1766019724,8.1,17100,27, 3160
1766019725,5,17100,16, 3160
1766019726,6.1,17093,11, 3160
1766019728,3.9,17091,13, 3160
1766019729,2.8,17091,10, 3160
1766019730,3.4,17088,12, 3160
1766019731,3.6,17095,9, 3160
1766019733,4,17104,10, 3160
1766019734,3.3,17106,5, 3160
1766019735,3.3,17105,10, 3160
1766019736,3.3,17107,8, 3160
1766019738,3.9,17105,12, 3160
1766019739,4.5,17101,8, 3160
1766019740,3.9,17097,10, 3160
1766019741,3.1,17094,9, 3160
1766019743,3,17097,12, 3160
1766019744,4.8,17099,12, 3160
1766019745,3.9,17084,9, 3160
1766019746,3.1,17096,13, 3160
1766019748,4.5,17095,12, 3160
1766019749,3,17093,8, 3160
1766019750,4.4,17091,8, 3160
1766019751,4.5,17078,13, 3160
1766019753,2.8,17083,10, 3160
1766019754,5.4,17089,10, 3160
1766019755,3.6,17092,8, 3160
1766019756,4.5,17088,14, 3160
1766019758,4.5,17087,11, 3160
1766019759,3.6,17089,12, 3160
1766019760,4.4,17083,10, 3160
1766019761,3.4,17093,12, 3160
1766019763,7.9,17096,13, 3160
1766019764,4.4,17107,15, 3160
1766019765,4.4,17114,14, 3160
1766019766,3.9,17107,11, 3160
1766019768,3.3,17106,10, 3160
1766019769,4.5,17112,7, 3160
1766019770,4.9,17111,11, 3160
1766019771,3.6,17109,13, 3160
1766019773,1.7,16764,0, 3160
1766019774,0.6,16700,0, 3160
