Timestamp,CPU_Percent,RAM_Used_MB
1765979215,17.4,1307
1765979216,2.3,1353
1765979217,55.8,2143
1765979218,47.6,2255
1765979220,42.5,2380
1765979221,56.8,2393
1765979222,26.2,2336
1765979223,26.2,2344
1765979225,28.6,2323
1765979226,28.6,2330
1765979227,39,2332
1765979228,53.8,2309
1765979230,32.6,3038
1765979231,100,3164
1765979232,100,3166
1765979233,100,3204
1765979235,100,3245
1765979236,100,3218
1765979237,100,3238
1765979238,100,3229
1765979240,100,3221
1765979241,100,3237
1765979242,100,3189
1765979243,100,3200
1765979245,100,3196
1765979246,100,3207
1765979247,100,3220
1765979248,100,3187
1765979250,100,3182
1765979251,100,3186
1765979252,100,3176
1765979253,98.1,3192
1765979255,100,3159
1765979256,100,3174
1765979257,100,3192
1765979258,100,3167
1765979260,100,3201
1765979261,100,3208
1765979262,100,3178
1765979263,100,3219
1765979264,100,3173
1765979266,100,3188
1765979267,100,3193
1765979268,100,3189
1765979269,100,3213
1765979271,100,3238
1765979272,100,3267
1765979273,100,3204
1765979274,100,3166
1765979276,100,2609
1765979277,4.7,2531
