Timestamp,CPU_Percent,RAM_Used_MB
1765978741,14.9,1311
1765978742,2.2,1311
1765978743,4.3,1311
1765978745,53.5,2072
1765978746,21.4,2232
1765978747,32.5,2271
1765978748,56.4,2276
1765978750,25,2287
1765978751,30,2288
1765978752,28.6,2296
1765978753,31.6,2288
1765978755,48.7,2290
1765978756,45,2307
1765978757,57.5,2297
1765978758,13.6,3003
1765978759,100,3162
1765978761,100,3190
1765978762,100,3167
1765978763,100,3158
1765978764,100,3179
1765978766,100,3151
1765978767,100,3209
1765978768,100,3213
1765978769,100,3202
1765978771,100,3202
1765978772,100,3164
1765978773,100,3146
1765978774,100,3147
1765978776,100,3169
1765978777,100,3239
1765978778,100,3237
1765978779,100,3225
1765978781,100,3209
1765978782,100,3157
1765978783,100,3162
1765978784,100,3160
1765978786,100,3172
1765978787,100,3179
1765978788,100,3174
1765978789,100,3189
1765978791,100,3176
1765978792,100,3168
1765978793,100,3169
1765978794,100,3167
1765978796,100,3179
1765978797,100,3192
1765978798,100,3255
1765978799,100,3237
1765978801,100,3189
1765978802,100,3184
1765978803,100,3183
1765978804,100,3182
1765978806,100,2553
1765978807,100,2473
1765978808,6.8,2396
