Timestamp,CPU_Percent,RAM_Used_MB
1765978563,19,1299
1765978564,17,1299
1765978565,52.4,2096
1765978566,4.3,2225
1765978568,40.5,2265
1765978569,61.5,2251
1765978570,65.8,2288
1765978571,38.1,2296
1765978573,42.9,2294
1765978574,55.3,2279
1765978575,43.2,2291
1765978576,28.6,2301
1765978577,31,2819
1765978579,100,3071
1765978580,100,3121
1765978581,100,3147
1765978582,100,3131
1765978584,100,3145
1765978585,100,3150
1765978586,100,3145
1765978587,100,3276
1765978589,100,3225
1765978590,100,3254
1765978591,100,3247
1765978592,100,3280
1765978594,100,3290
1765978595,100,3262
1765978596,100,3232
1765978597,100,3180
1765978599,100,3216
1765978600,100,3211
1765978601,100,3221
1765978602,100,3187
1765978604,100,3217
1765978605,100,3225
1765978606,100,3296
1765978607,100,3276
1765978609,100,3185
1765978610,100,3205
1765978611,100,3200
1765978612,100,3164
1765978614,100,3174
1765978615,100,3199
1765978616,100,3259
1765978617,100,3199
1765978619,100,3183
1765978620,100,3188
1765978621,100,3237
1765978622,100,3140
1765978624,100,3135
1765978625,100,3121
1765978626,100,2568
1765978627,2.3,2594
1765978629,0,2569
