Timestamp,CPU_Percent,RAM_Used_MB
1765978426,13,1303
1765978427,16.3,1303
1765978428,97.8,1423
1765978429,52.4,2224
1765978431,4.4,2227
1765978432,33.3,2257
1765978433,39.5,2268
1765978434,31,2297
1765978435,31.7,2277
1765978437,26.8,2292
1765978438,27.5,2309
1765978439,30.2,2301
1765978440,28.6,2307
1765978442,9.1,2995
1765978443,100,3090
1765978444,100,3162
1765978445,100,3202
1765978447,100,3145
1765978448,100,3157
1765978449,100,3173
1765978450,100,3176
1765978452,100,3242
1765978453,100,3167
1765978454,100,3166
1765978455,100,3194
1765978457,100,3209
1765978458,100,3187
1765978459,100,3181
1765978460,100,3171
1765978462,100,3144
1765978463,100,3147
1765978464,100,3167
1765978465,100,3168
1765978467,100,3139
1765978468,100,3127
1765978469,100,3173
1765978470,100,3171
1765978472,100,3193
1765978473,100,3272
1765978474,100,3210
1765978475,100,3179
1765978477,100,3145
1765978478,100,3148
1765978479,100,3171
1765978480,100,3133
1765978482,100,3187
1765978483,100,3166
1765978484,100,3162
1765978485,100,3150
1765978487,100,3160
1765978488,100,3157
1765978489,100,2531
1765978490,100,2453
1765978492,21.4,2440
1765978493,4.3,2438
