Timestamp,CPU_Percent,RAM_Used_MB
1765978318,24.4,1268
1765978319,15.9,1268
1765978320,100,1429
1765978322,51.2,2137
1765978323,2.3,2209
1765978324,44.2,2255
1765978325,33.3,2258
1765978327,37.2,2271
1765978328,51.4,2268
1765978329,45.2,2291
1765978330,42.5,2303
1765978331,60.5,2311
1765978333,50,2297
1765978334,47.5,2295
1765978335,84.8,2287
1765978336,73.2,2287
1765978338,27.5,2743
1765978339,100,3165
1765978340,100,3240
1765978341,100,3268
1765978343,100,3230
1765978344,100,3189
1765978345,100,3179
1765978346,100,3190
1765978348,100,3161
1765978349,100,3159
1765978350,100,3180
1765978351,100,3160
1765978353,100,3167
1765978354,100,3168
1765978355,100,3168
1765978356,100,3225
1765978358,100,3252
1765978359,100,3189
1765978360,100,3217
1765978361,100,3198
1765978363,100,3217
1765978364,100,3206
1765978365,100,3211
1765978366,100,3208
1765978368,100,3190
1765978369,100,3187
1765978370,100,3182
1765978371,100,3165
1765978373,100,3155
1765978374,100,3152
1765978375,100,3136
1765978376,100,3164
1765978378,100,3136
1765978379,100,3141
1765978380,100,3148
1765978381,100,3146
1765978383,100,3181
1765978384,100,3200
1765978385,100,3200
1765978386,100,3189
1765978388,100,2614
1765978389,100,2571
1765978390,9.1,2517
