Timestamp,CPU_Percent,RAM_Used_MB
1765979652,17.8,1301
1765979654,2.3,1327
1765979655,55,2120
1765979656,28.6,2240
1765979657,60,2251
1765979658,27.5,2290
1765979660,31.7,2288
1765979661,50,2291
1765979662,39.5,2286
1765979663,29.3,2292
1765979665,33.3,2288
1765979666,31,2303
1765979667,29.3,2926
1765979668,100,3094
1765979670,100,3141
1765979671,100,3149
1765979672,100,3162
1765979673,100,3155
1765979675,100,3143
1765979676,100,3147
1765979677,100,3145
1765979678,100,3160
1765979680,100,3166
1765979681,100,3211
1765979682,100,3180
1765979683,100,3194
1765979685,100,3165
1765979686,100,3221
1765979687,100,3176
1765979688,100,3177
1765979690,100,3241
1765979691,100,3259
1765979692,100,3237
1765979693,100,3185
1765979695,100,3210
1765979696,100,3161
1765979697,100,3142
1765979698,100,3185
1765979700,100,3203
1765979701,100,3207
1765979702,100,3193
1765979703,100,3215
1765979705,100,3229
1765979706,100,3208
1765979707,100,3185
1765979708,100,3169
1765979710,100,3241
1765979711,100,3230
1765979712,100,3247
1765979713,100,3279
1765979715,100,3070
1765979716,100,2577
