Timestamp,CPU_Percent,RAM_Used_MB
1765979443,15.9,1315
1765979444,6.8,1316
1765979445,93.5,2098
1765979446,28.6,2246
1765979448,24.4,2280
1765979449,27.5,2296
1765979450,25.6,2312
1765979451,28.6,2307
1765979453,29.3,2297
1765979454,27.5,2287
1765979455,27.5,2291
1765979456,34.1,2298
1765979457,28.6,2324
1765979459,51.2,2300
1765979460,76.7,3048
1765979461,100,3146
1765979462,100,3172
1765979464,100,3178
1765979465,100,3169
1765979466,100,3198
1765979467,100,3161
1765979469,100,3162
1765979470,100,3149
1765979471,100,3208
1765979472,100,3190
1765979474,100,3191
1765979475,100,3162
1765979476,100,3159
1765979477,100,3222
1765979479,100,3197
1765979480,100,3183
1765979481,100,3273
1765979482,100,3241
1765979484,100,3165
1765979485,100,3171
1765979486,100,3160
1765979487,100,3165
1765979489,100,3153
1765979490,100,3153
1765979491,100,3145
1765979492,100,3190
1765979494,100,3244
1765979495,100,3232
1765979496,100,3218
1765979497,100,3240
1765979499,100,3225
1765979500,100,3205
1765979501,100,3244
1765979502,100,3226
1765979504,100,3212
1765979505,100,3255
1765979506,100,3291
1765979507,100,3234
1765979509,100,3285
1765979510,100,2548
1765979511,2.3,2569
1765979512,7.1,2537
