Timestamp,CPU_Percent,RAM_Used_MB
1765979323,15.9,1314
1765979324,4.4,1315
1765979325,100,1954
1765979326,4.4,2223
1765979328,28.6,2232
1765979329,70,2363
1765979330,52.6,2398
1765979331,26.8,2343
1765979333,50,2336
1765979334,52.5,2322
1765979335,41.9,2323
1765979336,29.3,2927
1765979337,100,3181
1765979339,100,3230
1765979340,100,3205
1765979341,100,3192
1765979342,100,3198
1765979344,100,3169
1765979345,100,3204
1765979346,100,3219
1765979347,100,3220
1765979349,100,3227
1765979350,100,3217
1765979351,100,3203
1765979352,100,3157
1765979354,100,3168
1765979355,100,3252
1765979356,100,3330
1765979357,100,3356
1765979359,100,3325
1765979360,100,3275
1765979361,100,3238
1765979362,100,3239
1765979364,100,3181
1765979365,100,3189
1765979366,100,3156
1765979367,100,3220
1765979369,100,3192
1765979370,100,3268
1765979371,100,3274
1765979372,100,3233
1765979374,100,3230
1765979375,100,3170
1765979376,100,3241
1765979377,100,3209
1765979379,100,3200
1765979380,100,3289
1765979381,100,3174
1765979382,100,2667
1765979384,59.5,2447
