Timestamp,CPU_Percent,RAM_Used_MB
1765978165,13.6,1292
1765978166,8.5,1294
1765978167,4.3,1295
1765978169,100,1563
1765978170,51.2,1826
1765978171,51.2,2106
1765978172,20.9,2246
1765978174,4.2,2246
1765978175,2.3,2247
1765978176,6.5,2250
1765978177,47.7,2281
1765978178,29.5,2288
1765978180,26.2,2299
1765978181,41.5,2339
1765978182,51.2,2380
1765978183,43.9,2395
1765978185,29.5,2399
1765978186,46.3,2402
1765978187,33.3,2415
1765978188,42.9,2420
1765978190,25.6,2419
1765978191,23.8,2424
1765978192,34.2,2412
1765978193,35.7,2408
1765978194,42.1,2407
1765978196,56.4,2470
1765978197,100,3178
1765978198,100,3226
1765978199,100,3285
1765978201,100,3279
1765978202,100,3289
1765978203,100,3272
1765978204,100,3315
1765978206,100,3267
1765978207,100,3270
1765978208,100,3301
1765978209,100,3315
1765978211,100,3314
1765978212,100,3326
1765978213,100,3345
1765978214,100,3309
1765978216,100,3326
1765978217,100,3333
1765978218,100,3327
1765978219,100,3327
1765978221,100,3303
1765978222,100,3227
1765978223,100,3305
1765978224,100,3269
1765978226,100,3261
1765978227,100,3262
1765978228,100,3302
1765978229,100,3292
1765978231,100,3245
1765978232,100,3246
1765978233,100,3266
1765978234,100,3258
1765978236,100,3264
1765978237,100,3243
1765978238,100,3228
1765978239,100,3258
1765978241,100,3263
1765978242,100,2679
1765978243,100,2580
1765978244,6.7,2457
