Timestamp,CPU_Percent,RAM_Used_MB
1766003251,2.4,1646
1766003253,75.6,1677
1766003254,51.3,2070
1766003257,25.9,2198
1766003258,40.7,2282
1766003259,29.5,2351
1766003260,32.9,2406
1766003262,14,2456
1766003263,14.6,2461
1766003264,11,2465
1766003265,25.3,2468
1766003266,11.5,2465
1766003268,13.3,2460
1766003269,26.2,2479
1766003270,20.5,3158
1766003271,70.7,3241
1766003273,72.8,3270
1766003274,71.6,3285
1766003275,71.8,3302
1766003276,71.2,3310
1766003277,66.7,3304
1766003279,68.8,3323
1766003280,63.2,3312
1766003281,67.1,3341
1766003282,67.9,3339
1766003284,71.6,3327
1766003285,67.1,3314
1766003286,72.2,3311
1766003287,68.8,3314
1766003288,71.6,3329
1766003290,70,3351
1766003291,67.9,3314
1766003292,69,3315
1766003293,69.3,3336
1766003295,72.5,3314
1766003296,70.7,3302
1766003297,69.6,3278
1766003298,72.5,3289
1766003300,67.9,3322
1766003301,73.2,3328
1766003302,83.5,3319
1766003303,72.3,3336
1766003304,68.7,3324
1766003306,74.4,3321
1766003307,68.3,3311
1766003308,72.5,3311
1766003309,72.8,3294
1766003311,71.6,3299
1766003312,67.1,3283
1766003313,69.2,3288
1766003314,69.6,3292
1766003315,67.1,3304
1766003317,69.1,3206
1766003318,72.8,2625
1766003319,75.3,2585
1766003320,65.1,2548
