Timestamp,CPU_Percent,RAM_Used_MB
1766003620,38.8,1641
1766003621,2.5,1668
1766003622,75.9,2067
1766003623,22.2,2243
1766003625,4.6,2298
1766003627,32.1,2432
1766003628,14.1,2474
1766003629,12.2,2470
1766003630,11,2476
1766003632,19.3,2479
1766003633,12,2475
1766003634,13.6,2482
1766003635,11,2480
1766003636,12.2,2493
1766003638,13.1,2492
1766003639,20.7,2497
1766003640,30.5,2497
1766003641,26.2,2655
1766003642,19.3,3236
1766003644,70.9,3326
1766003645,66.2,3352
1766003646,72.9,3367
1766003647,72.5,3363
1766003649,72.2,3372
1766003650,73.2,3373
1766003651,69.1,3410
1766003652,72.6,3396
1766003654,69.8,3334
1766003655,73.1,3326
1766003656,77.5,3340
1766003657,76.2,3338
1766003658,85.8,3336
1766003660,68.3,3354
1766003661,72.5,3349
1766003662,68.8,3346
1766003663,70.1,3349
1766003665,70.5,3339
1766003666,69,3350
1766003667,69.1,3353
1766003668,72,3339
1766003669,67.5,3343
1766003671,67.9,3353
1766003672,63.5,3356
1766003673,65.4,3348
1766003674,72.7,3342
1766003676,73.8,3350
1766003677,73.2,3391
1766003678,74.7,3338
1766003679,65.4,3326
1766003681,64.3,3341
1766003682,71.4,3348
1766003683,73.2,3360
1766003684,72.8,3345
1766003685,72.8,3333
1766003687,69.5,3348
1766003688,71.1,3325
1766003689,71.8,3320
1766003690,67.9,3337
1766003691,70.9,3292
1766003693,64.2,2634
1766003694,69.2,2630
