Timestamp,CPU_Percent,RAM_Used_MB
1766003342,10,1627
1766003343,7.9,1624
1766003345,69.1,1919
1766003346,27.7,2003
1766003347,28,2214
1766003349,28.4,2282
1766003350,39,2337
1766003351,33.3,2389
1766003352,13.1,2444
1766003353,11.2,2445
1766003355,12,2450
1766003356,13.1,2454
1766003357,14.8,2457
1766003358,15.7,2448
1766003359,14.3,2438
1766003361,7.5,2437
1766003362,13.8,2442
1766003363,14.8,2620
1766003364,21.2,3031
1766003366,80,3235
1766003367,82.9,3283
1766003368,76.2,3265
1766003369,72.5,3296
1766003371,72.5,3314
1766003372,73.5,3307
1766003373,71.1,3316
1766003374,72,3313
1766003375,74.1,3320
1766003377,72,3303
1766003378,70.9,3321
1766003379,75,3317
1766003380,71.1,3324
1766003382,74.4,3323
1766003383,75.3,3350
1766003384,76.4,3315
1766003385,74.1,3314
1766003386,75.6,3328
1766003388,75,3312
1766003389,73.2,3301
1766003390,72.3,3291
1766003391,74.4,3311
1766003393,74.7,3313
1766003394,75,3332
1766003395,72.7,3360
1766003396,69.1,3324
1766003397,72.3,3330
1766003399,70.4,3344
1766003400,73.8,3331
1766003401,72.8,3328
1766003402,70.2,3352
1766003404,68.3,3345
1766003405,65.4,3359
1766003406,66.7,3327
1766003407,72.3,3316
1766003409,65.4,3353
1766003410,70.4,3340
1766003411,67.1,3336
1766003412,63.3,3308
1766003413,68.3,3271
1766003415,69.1,2622
1766003416,69.6,2565
1766003417,67.5,2579
