Timestamp,CPU_Percent,RAM_Used_MB
1766003438,7.1,1638
1766003439,68.5,1686
1766003441,83.1,1966
1766003442,40,2106
1766003443,36.1,2262
1766003444,31.6,2311
1766003446,27.5,2377
1766003447,13.1,2482
1766003448,42,2474
1766003449,13.3,2479
1766003450,14.1,2488
1766003452,9.8,2474
1766003453,12.2,2479
1766003454,12.7,2733
1766003455,70.9,3253
1766003457,68.3,3312
1766003458,73.5,3330
1766003459,71.1,3337
1766003460,72,3329
1766003462,65.8,3341
1766003463,73.2,3346
1766003464,71.4,3365
1766003465,74.4,3353
1766003466,74.4,3380
1766003468,71.2,3389
1766003469,67.1,3377
1766003470,66.2,3377
1766003471,73.1,3369
1766003473,71.4,3379
1766003474,74.1,3362
1766003475,71.8,3386
1766003476,73.4,3323
1766003477,70.1,3330
1766003479,68.4,3291
1766003480,74.7,3325
1766003481,65.4,3298
1766003482,76.7,3324
1766003484,70.9,3327
1766003485,72.8,3305
1766003486,75.6,3311
1766003487,71.6,3312
1766003488,66.7,3318
1766003490,73.7,3314
1766003491,70.4,3327
1766003492,68.8,3324
1766003493,64.6,3312
1766003495,71.4,3299
1766003496,71.2,3306
1766003497,73.8,3307
1766003498,71.1,3274
1766003499,69.2,3265
1766003501,70.9,2595
1766003502,65.4,2562
1766003503,60.3,2564
