Timestamp,CPU_Percent,RAM_Used_MB
1766003154,2.4,1640
1766003155,3.5,1660
1766003156,28.6,2027
1766003157,1.2,2176
1766003159,38.4,2284
1766003160,55.6,2341
1766003161,36,2407
1766003162,29.3,2477
1766003163,12,2481
1766003165,14.6,2478
1766003166,14.8,2487
1766003167,12,2489
1766003168,12.3,2471
1766003170,67,2476
1766003171,15.7,2498
1766003172,37,3194
1766003173,66.7,3278
1766003174,73.4,3308
1766003176,65,3337
1766003177,70.9,3366
1766003178,65.9,3365
1766003179,68.4,3387
1766003181,67.5,3295
1766003182,67.5,3304
1766003183,71.8,3310
1766003184,69.2,3300
1766003185,74.1,3300
1766003187,65.8,3303
1766003188,73.5,3300
1766003189,70,3328
1766003190,71.2,3294
1766003192,65.8,3310
1766003193,68.8,3285
1766003194,70.1,3308
1766003195,70,3289
1766003196,69.6,3302
1766003198,66.7,3308
1766003199,77.6,3311
1766003200,69.5,3329
1766003201,67.9,3315
1766003203,65.9,3310
1766003204,73.1,3334
1766003205,70.5,3326
1766003206,66.7,3323
1766003208,70,3317
1766003209,73.8,3344
1766003210,67.5,3348
1766003211,67.1,3314
1766003212,76.8,3349
1766003214,67.9,3342
1766003215,70,3337
1766003216,67.5,3325
1766003217,68.4,3355
1766003219,71.6,3322
1766003220,67.5,3242
1766003221,70.4,2649
1766003222,81.6,2667
1766003223,18.8,2617
