Timestamp,CPU_Percent,RAM_Used_MB
1766003530,1.2,1684
1766003532,74.7,1738
1766003533,30.4,2126
1766003535,20.3,2271
1766003536,29.6,2354
1766003537,23.8,2417
1766003538,23.8,2457
1766003540,9.9,2458
1766003541,12.3,2462
1766003542,19.5,2461
1766003543,43.4,2438
1766003544,12.3,2451
1766003546,10.8,2449
1766003547,15.9,2589
1766003548,79.3,3220
1766003549,72.5,3301
1766003551,67.1,3329
1766003552,75.9,3320
1766003553,73.8,3331
1766003554,70,3345
1766003555,74.7,3332
1766003557,72.8,3345
1766003558,67.9,3338
1766003559,67.5,3321
1766003560,64.6,3329
1766003562,69.9,3337
1766003563,72.8,3346
1766003564,69.2,3351
1766003565,71.8,3355
1766003566,69.1,3341
1766003568,77.8,3341
1766003569,65,3352
1766003570,67.1,3349
1766003571,67.5,3339
1766003573,72,3352
1766003574,67.9,3354
1766003575,71.6,3359
1766003576,74.1,3349
1766003577,67.5,3337
1766003579,70,3347
1766003580,68.6,3356
1766003581,72.7,3345
1766003582,63.3,3363
1766003584,65.1,3360
1766003585,64.2,3354
1766003586,71.1,3344
1766003587,72,3342
1766003588,66.2,3353
1766003590,67.9,3370
1766003591,69.5,3362
1766003592,69.6,3382
1766003593,64.6,2637
1766003595,71.2,2649
1766003596,65.8,2594
1766003597,2.4,2593
