Timestamp,CPU_Percent,RAM_Used_MB
1766003722,6,1638
1766003723,75.9,1688
1766003724,25,2022
1766003727,26.5,2204
1766003728,42.4,2260
1766003729,26.9,2308
1766003730,25.3,2367
1766003732,37.3,2431
1766003733,14.1,2452
1766003734,26.2,2450
1766003735,9.9,2455
1766003736,12,2453
1766003738,8.6,2453
1766003739,9.6,2450
1766003740,23.5,2448
1766003741,13.8,2654
1766003743,25.3,3168
1766003744,73.2,3242
1766003745,62.5,3289
1766003746,72,3331
1766003747,71.4,3313
1766003749,69.6,3359
1766003750,71.1,3351
1766003751,70,3326
1766003752,76.2,3361
1766003754,65.8,3329
1766003755,73.8,3359
1766003756,70.4,3375
1766003757,70.9,3357
1766003758,75.9,3368
1766003760,72,3351
1766003761,72.8,3364
1766003762,70.9,3371
1766003763,68.8,3366
1766003765,70.4,3357
1766003766,73.2,3374
1766003767,68.8,3348
1766003768,70.4,3355
1766003769,72.8,3385
1766003771,78.1,3368
1766003772,70,3370
1766003773,72.5,3333
1766003774,72.4,3308
1766003776,69.1,3305
1766003777,71.6,3308
1766003778,71.6,3332
1766003779,69.9,3315
1766003780,70.9,3349
1766003782,71.2,3331
1766003783,83.1,3341
1766003784,70.7,3336
1766003785,72.5,3326
1766003787,70,3318
1766003788,71.6,3302
1766003789,73.3,3266
1766003790,67.1,2638
1766003791,75,2599
1766003793,69.1,2606
1766003794,4.8,2581
1766003795,1.2,2580
1766003796,2.4,2584
1766003798,1.2,2586
1766003799,6.9,2543
