Timestamp,CPU_Percent,RAM_Used_MB
1766003827,2.3,1680
1766003828,70.6,1728
1766003829,42,2145
1766003830,40.2,2239
1766003831,11.2,2325
1766003833,25.3,2396
1766003834,44.4,2419
1766003835,18.1,2452
1766003836,12.3,2423
1766003838,10,2434
1766003839,13.4,2441
1766003840,22.2,2439
1766003841,15.7,2440
1766003842,21.2,2441
1766003844,14.8,2827
1766003845,26.2,3178
1766003846,61.5,3249
1766003847,68.8,3295
1766003849,81.6,3310
1766003850,69.2,3323
1766003851,70,3308
1766003852,69.9,3289
1766003853,70.5,3311
1766003855,72.2,3330
1766003856,67.1,3318
1766003857,69.6,3304
1766003858,72.5,3331
1766003860,64.1,3305
1766003861,65.4,3315
1766003862,75.3,3315
1766003863,68.6,3326
1766003864,70,3337
1766003866,70.4,3348
1766003867,73.8,3360
1766003868,72.2,3350
1766003869,73.2,3347
1766003871,68.4,3373
1766003872,71.8,3334
1766003873,69.8,3339
1766003874,68.8,3369
1766003875,74.1,3341
1766003877,71.2,3356
1766003878,68.4,3338
1766003879,70.9,3349
1766003880,81.5,3324
1766003882,68.4,3358
1766003883,72.8,3353
1766003884,76.2,3327
1766003885,85.2,3336
1766003886,73.4,3323
1766003888,67.9,3343
1766003889,69.1,3354
1766003890,68.4,3309
1766003891,71.2,3309
1766003893,65,2635
1766003894,68.7,2593
