Timestamp,CPU_Percent,RAM_Used_MB
1766002851,8.9,1659
1766002852,3.6,1651
1766002854,84.8,1932
1766002855,18.3,2179
1766002856,27.7,2278
1766002857,22.2,2379
1766002858,33.7,2418
1766002860,7.2,2466
1766002861,20.7,2484
1766002862,20,2479
1766002863,9.9,2486
1766002865,10.7,2484
1766002866,12.3,2487
1766002867,9.3,2495
1766002868,10.8,2490
1766002870,14.1,2478
1766002871,70.2,2483
1766002872,11.5,2484
1766002873,8.1,2482
1766002874,15.3,2485
1766002876,25,3024
1766002877,33.3,3225
1766002878,73.5,3301
1766002879,67.1,3302
1766002881,63.9,3312
1766002882,65,3333
1766002883,65,3353
1766002884,65.8,3350
1766002886,63.8,3323
1766002887,64.2,3323
1766002888,67.9,3329
1766002889,65.4,3331
1766002890,68.8,3332
1766002892,66.7,3321
1766002893,69.4,3345
1766002894,68.3,3306
1766002895,66.7,3329
1766002897,78.4,3332
1766002898,66.2,3344
1766002899,62.2,3355
1766002900,58.2,3343
1766002902,73.4,3347
1766002903,72,3344
1766002904,66.7,3324
1766002905,67.9,3323
1766002906,60.7,3341
1766002908,65,3376
1766002909,59.7,3339
1766002910,68.7,3319
1766002911,72.9,3333
1766002913,68.4,3327
1766002914,70,3350
1766002915,69.6,3344
1766002916,67.1,3346
1766002918,65.1,3331
1766002919,72.5,3345
1766002920,67.5,3338
1766002921,57.5,3331
1766002923,67.9,3342
1766002924,62.7,3273
1766002925,66.7,2621
1766002926,69.9,2630
1766002927,2.4,2599
1766002929,19.3,2601
1766002930,4.7,2561
