Timestamp,CPU_Percent,RAM_Used_MB
1766003016,2.3,1642
1766003017,3.5,1642
1766003018,83.1,1766
1766003020,36.2,2155
1766003021,90.9,2270
1766003022,67,2302
1766003023,30.1,2371
1766003024,19,2480
1766003026,13.3,2461
1766003027,20.5,2460
1766003028,13.3,2459
1766003029,28,2467
1766003031,13.3,2465
1766003032,11.1,2465
1766003033,11.1,2473
1766003034,7.3,2478
1766003035,20,2504
1766003037,17.6,3141
1766003038,77.3,3278
1766003039,66.7,3312
1766003040,69.6,3342
1766003042,67.5,3319
1766003043,67.1,3343
1766003044,74.7,3345
1766003045,68.4,3352
1766003047,66.2,3351
1766003048,75.8,3368
1766003049,68.4,3371
1766003050,68.8,3373
1766003051,67.1,3378
1766003053,67.9,3359
1766003054,69.9,3371
1766003055,69.6,3350
1766003057,68.4,3358
1766003058,64.7,3350
1766003059,68.8,3299
1766003060,66.2,3319
1766003061,72.5,3331
1766003063,63.2,3322
1766003064,68.7,3293
1766003065,68.4,3335
1766003066,72.5,3312
1766003068,67.9,3325
1766003069,76.5,3317
1766003070,71.2,3298
1766003071,63,3328
1766003073,63.5,3325
1766003074,69.6,3306
1766003075,70,3326
1766003076,71.1,3315
1766003078,69.1,3329
1766003079,68.8,3329
1766003080,68.9,3330
1766003081,67.5,3324
1766003082,64,3318
1766003084,65.5,3335
1766003085,71.6,2666
1766003086,65.4,2629
1766003087,1.2,2604
1766003089,1.2,2606
1766003090,2.4,2570
