Timestamp,CPU_Percent,RAM_Used_MB
1766002643,0,1681
1766002644,4.8,1677
1766002645,3.4,1678
1766002646,48.2,1974
1766002647,22,2208
1766002649,23.9,2300
1766002650,41.2,2407
1766002652,32.9,2489
1766002653,14.6,2479
1766002654,17.2,2468
1766002655,13.8,2482
1766002656,12,2482
1766002658,12.3,2483
1766002659,11,2480
1766002660,14.1,2473
1766002661,11.1,2469
1766002663,23.5,2989
1766002664,68.7,3285
1766002665,61.9,3313
1766002666,64.3,3299
1766002667,70.1,3290
1766002669,67.5,3316
1766002670,69.6,3331
1766002671,67.4,3325
1766002672,69,3332
1766002674,68.4,3319
1766002675,69.1,3352
1766002676,66.7,3350
1766002677,68,3335
1766002679,66.2,3360
1766002680,64.6,3348
1766002681,67.9,3359
1766002682,67.5,3357
1766002683,67.5,3352
1766002685,59.5,3345
1766002686,71.1,3367
1766002687,65.8,3354
1766002688,67.1,3364
1766002690,67.1,3378
1766002691,67.5,3358
1766002692,68.4,3362
1766002693,67.9,3364
1766002694,68.8,3356
1766002696,64.1,3368
1766002697,65.4,3378
1766002698,67.5,3386
1766002699,72.2,3314
1766002701,64.7,3313
1766002702,66.2,3324
1766002703,67.5,3299
1766002704,65.4,3298
1766002706,66.7,3294
1766002707,67.9,3318
1766002708,69.1,3241
1766002709,67.5,2626
1766002710,69.1,2590
